VulnID;OccuType;DmgType;VulnType;HydroValue;Damage
1;11100;1;1;0.3048;0
1;11100;1;1;0.762;0.1
1;11100;1;1;0.9144;0.25
1;11100;1;1;1.2192;0.4
1;11100;1;1;1.524;0.5
1;11100;1;1;2.4384;0.6
1;11100;1;1;3;0.6
1;11100;1;1;9999;0.6
1;11100;2;1;0.3048;0
1;11100;2;1;0.762;0.05
1;11100;2;1;0.9144;0.2
1;11100;2;1;1.2192;0.4
1;11100;2;1;1.524;0.5
1;11100;2;1;2.4384;0.8
1;11100;2;1;3;0.8
1;11100;2;1;9999;0.8
1;11100;1;2;0;0
1;11100;1;2;0.5;0.004246501
1;11100;1;2;1;0.016986004
1;11100;1;2;1.5;0.038218508
1;11100;1;2;2;0.067944014
1;11100;1;2;2.5;0.106162522
1;11100;1;2;3;0.152874032
1;11100;1;2;3.5;0.208078543
1;11100;1;2;4;0.271776057
1;11100;1;2;4.5;0.343966572
1;11100;1;2;5;0.424650088
1;11100;1;2;5.5;0.513826607
1;11100;1;2;6;0.611496127
1;11100;1;2;6.5;0.717658649
1;11100;1;2;7;0.832314173
1;11100;1;2;7.5;0.955462699
1;11100;1;2;7.7;1
1;11100;1;2;10;1
1;11210;1;1;0.3048;0
1;11210;1;1;0.762;0.1
1;11210;1;1;0.9144;0.25
1;11210;1;1;1.2192;0.4
1;11210;1;1;1.524;0.5
1;11210;1;1;2.4384;0.6
1;11210;1;1;3;0.6
1;11210;1;1;9999;0.6
1;11210;2;1;0.3048;0
1;11210;2;1;0.762;0.05
1;11210;2;1;0.9144;0.2
1;11210;2;1;1.2192;0.4
1;11210;2;1;1.524;0.5
1;11210;2;1;2.4384;0.8
1;11210;2;1;3;0.8
1;11210;2;1;9999;0.8
1;11210;1;2;0;0
1;11210;1;2;0.5;0.004246501
1;11210;1;2;1;0.016986004
1;11210;1;2;1.5;0.038218508
1;11210;1;2;2;0.067944014
1;11210;1;2;2.5;0.106162522
1;11210;1;2;3;0.152874032
1;11210;1;2;3.5;0.208078543
1;11210;1;2;4;0.271776057
1;11210;1;2;4.5;0.343966572
1;11210;1;2;5;0.424650088
1;11210;1;2;5.5;0.513826607
1;11210;1;2;6;0.611496127
1;11210;1;2;6.5;0.717658649
1;11210;1;2;7;0.832314173
