FRType;num;Fseverity;WarnTime;Understanding;FatRate
0;3;HIGHT;0;Vague;0.75
0;3;HIGHT;24;Vague;0.75
0;2;MEDIUM;0;Vague;0.15
0;2;MEDIUM;0.25;Vague;0.15
0;2;MEDIUM;1;Vague;0.04
0;2;MEDIUM;24;Vague;0.03
0;1;LOW;0;Vague;0.01
0;1;LOW;0.25;Vague;0.01
0;1;LOW;1;Vague;0.007
0;1;LOW;24;Vague;0.0003
0;3;HIGHT;0;Precise;0.75
0;3;HIGHT;24;Precise;0.75
0;2;MEDIUM;0;Precise;0.15
0;2;MEDIUM;0.25;Precise;0.15
0;2;MEDIUM;1;Precise;0.02
0;2;MEDIUM;24;Precise;0.01
0;1;LOW;0;Precise;0.01
0;1;LOW;0.25;Precise;0.01
0;1;LOW;1;Precise;0.002
0;1;LOW;24;Precise;0.0002
1;3;HIGHT;0;C1;0.9
1;3;HIGHT;0.25;C1;0.9
1;3;HIGHT;0.625;C1;0.7
1;3;HIGHT;1;C1;0.3
1;3;HIGHT;1.5;C1;0.3
1;3;HIGHT;24;C1;0.08
1;2;MEDIUM;0;C1;0.3
1;2;MEDIUM;0.25;C1;0.3
1;2;MEDIUM;0.625;C1;0.08
1;2;MEDIUM;1;C1;0.06
1;2;MEDIUM;1.5;C1;0.0002
1;2;MEDIUM;24;C1;0.0002
1;1;LOW;0;C1;0.02
1;1;LOW;0.25;C1;0.02
1;1;LOW;0.625;C1;0.015
1;1;LOW;1;C1;0.0006
1;1;LOW;1.5;C1;0.0002
1;1;LOW;24;C1;0.0001
1;3;HIGHT;0;C2;0.9
1;3;HIGHT;0.25;C2;0.9
1;3;HIGHT;0.625;C2;0.675
1;3;HIGHT;1;C2;0.3
1;3;HIGHT;1.5;C2;0.3
1;3;HIGHT;24;C2;0.075
1;2;MEDIUM;0;C2;0.3
1;2;MEDIUM;0.25;C2;0.3
1;2;MEDIUM;0.625;C2;0.075
1;2;MEDIUM;1;C2;0.055
1;2;MEDIUM;1.5;C2;0.0002
1;2;MEDIUM;24;C2;0.0002
1;1;LOW;0;C2;0.02
1;1;LOW;0.25;C2;0.02
1;1;LOW;0.625;C2;0.014
1;1;LOW;1;C2;0.0006
1;1;LOW;1.5;C2;0.0002
1;1;LOW;24;C2;0.0001
1;3;HIGHT;0;C3;0.9
1;3;HIGHT;0.25;C3;0.85
1;3;HIGHT;0.625;C3;0.6
1;3;HIGHT;1;C3;0.3
1;3;HIGHT;1.5;C3;0.3
1;3;HIGHT;24;C3;0.075
1;2;MEDIUM;0;C3;0.3
1;2;MEDIUM;0.25;C3;0.2
1;2;MEDIUM;0.625;C3;0.07
1;2;MEDIUM;1;C3;0.05
1;2;MEDIUM;1.5;C3;0.0002
1;2;MEDIUM;24;C3;0.0002
1;1;LOW;0;C3;0.02
1;1;LOW;0.25;C3;0.015
1;1;LOW;0.625;C3;0.012
1;1;LOW;1;C3;0.0005
1;1;LOW;1.5;C3;0.0002
1;1;LOW;24;C3;0.0001
1;3;HIGHT;0;C4;0.9
1;3;HIGHT;0.25;C4;0.75
1;3;HIGHT;0.625;C4;0.5
1;3;HIGHT;1;C4;0.3
1;3;HIGHT;1.5;C4;0.15
1;3;HIGHT;24;C4;0.04
1;2;MEDIUM;0;C4;0.3
1;2;MEDIUM;0.25;C4;0.15
1;2;MEDIUM;0.625;C4;0.04
1;2;MEDIUM;1;C4;0.03
1;2;MEDIUM;1.5;C4;0.0002
1;2;MEDIUM;24;C4;0.0002
1;1;LOW;0;C4;0.02
1;1;LOW;0.25;C4;0.01
1;1;LOW;0.625;C4;0.007
1;1;LOW;1;C4;0.0003
1;1;LOW;1.5;C4;0.0002
1;1;LOW;24;C4;0.0001
1;3;HIGHT;0;C5;0.9
1;3;HIGHT;0.25;C5;0.75
1;3;HIGHT;0.625;C5;0.5
1;3;HIGHT;1;C5;0.3
1;3;HIGHT;1.5;C5;0.15
1;3;HIGHT;24;C5;0.375
1;2;MEDIUM;0;C5;0.3
1;2;MEDIUM;0.25;C5;0.15
1;2;MEDIUM;0.625;C5;0.0375
1;2;MEDIUM;1;C5;0.0275
1;2;MEDIUM;1.5;C5;0.0002
1;2;MEDIUM;24;C5;0.0002
1;1;LOW;0;C5;0.02
1;1;LOW;0.25;C5;0.01
1;1;LOW;0.625;C5;0.0065
1;1;LOW;1;C5;0.0003
1;1;LOW;1.5;C5;0.0002
1;1;LOW;24;C5;0.0001
1;3;HIGHT;0;C6;0.9
1;3;HIGHT;0.25;C6;0.75
1;3;HIGHT;0.625;C6;0.475
1;3;HIGHT;1;C6;0.3
1;3;HIGHT;1.5;C6;0.15
1;3;HIGHT;24;C6;0.035
1;2;MEDIUM;0;C6;0.3
1;2;MEDIUM;0.25;C6;0.15
1;2;MEDIUM;0.625;C6;0.035
1;2;MEDIUM;1;C6;0.025
1;2;MEDIUM;1.5;C6;0.0002
1;2;MEDIUM;24;C6;0.0002
1;1;LOW;0;C6;0.02
1;1;LOW;0.25;C6;0.01
1;1;LOW;0.625;C6;0.006
1;1;LOW;1;C6;0.0003
1;1;LOW;1.5;C6;0.0002
1;1;LOW;24;C6;0.0001
1;3;HIGHT;0;C7;0.9
1;3;HIGHT;0.25;C7;0.65
1;3;HIGHT;0.625;C7;0.4
